run	particle	pdg	kinetic_energy_gev	eta	production_cut_mm	events	seed	root_sha256	git_commit
pion_plus_100gev_eta0_cut0p1mm_seed643031	pion_plus	211	100	0.0	0.1	200	643031	3b4916215fc427e43f71d3f11754eb2be1023aae97c403561a1bf8bad58f867d	6a4aa8e1913193cd4ed7e3ae76f88ba98037400e
pion_plus_100gev_eta0_cut0p1mm_seed643032	pion_plus	211	100	0.0	0.1	200	643032	b559f71264f1f5eb435f75c9c8db7e5319a151bfbd6aaca717c3c236ad5a26b2	6a4aa8e1913193cd4ed7e3ae76f88ba98037400e
pion_plus_100gev_eta0_cut0p1mm_seed643033	pion_plus	211	100	0.0	0.1	200	643033	e09da4f50377c6a600e8c49824351f120eed82c409dd46edfb4c978f1f0453c5	6a4aa8e1913193cd4ed7e3ae76f88ba98037400e
pion_plus_100gev_eta0_cut0p1mm_seed643034	pion_plus	211	100	0.0	0.1	200	643034	156a9c3d394f2b71722f28e9203cfceed078a3e1a323a51c989a6ff765a072a2	6a4aa8e1913193cd4ed7e3ae76f88ba98037400e
pion_plus_100gev_eta0_cut0p1mm_seed643035	pion_plus	211	100	0.0	0.1	200	643035	31ea03e76b74c42aa2b2777e0eb4c43bf38fa493ace65748b2efd9093a49edb8	6a4aa8e1913193cd4ed7e3ae76f88ba98037400e
pion_plus_100gev_eta0_cut1mm_seed643031	pion_plus	211	100	0.0	1.0	200	643031	669575c24230606a7391babfdb89fe49014556c07385e7fcbf507c57d0f9ab16	6a4aa8e1913193cd4ed7e3ae76f88ba98037400e
pion_plus_100gev_eta0_cut1mm_seed643032	pion_plus	211	100	0.0	1.0	200	643032	45b1c3f51348a310b1b612ac39d37b6e1525ea23c7ddc1dbe6bf7d5784dcc119	6a4aa8e1913193cd4ed7e3ae76f88ba98037400e
pion_plus_100gev_eta0_cut1mm_seed643033	pion_plus	211	100	0.0	1.0	200	643033	0ea0cd9a5540566ef3f39696248e7a7f3b5ad98d5711f494f85cbd34730578f2	6a4aa8e1913193cd4ed7e3ae76f88ba98037400e
pion_plus_100gev_eta0_cut1mm_seed643034	pion_plus	211	100	0.0	1.0	200	643034	170ea8bf19b6188e6f4759c17be6c748b1d19ad1ca6a683cbdc495674ef80a9e	6a4aa8e1913193cd4ed7e3ae76f88ba98037400e
pion_plus_100gev_eta0_cut1mm_seed643035	pion_plus	211	100	0.0	1.0	200	643035	9ac8877c20df2bcfa0e5f0deeb906330952cbb550034945c95c336801df360d8	6a4aa8e1913193cd4ed7e3ae76f88ba98037400e
