event,bcid,eligible_neutrinos,outside_acceptance_neutrinos,off_transported,on_transported,off_energy_mev,on_energy_mev,energy_delta_mev,energy_abs_delta_mev,off_hit_count,on_hit_count
0,0,0,0,87,87,7512.6690607443006,7512.6690607443006,0,0,4636,4636
1,1,0,0,74,74,9960.4795630882545,9960.4795630882545,0,0,5270,5270
2,2,0,0,24,24,2099.9765838332573,2099.9765838332573,0,0,1738,1738
3,3,0,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,0,0,0
6,6,0,0,273,273,34382.871747067751,34382.871747067751,0,0,21743,21743
7,7,0,0,0,0,0,0,0,0,0,0
8,8,0,1,272,272,36623.922233856625,36623.922233856625,0,0,16798,16798
9,9,0,0,46,46,4814.4595411393611,4814.4595411393611,0,0,4525,4525
10,10,0,0,94,94,9035.1692476872031,9035.1692476872031,0,0,6907,6907
11,11,0,0,0,0,0,0,0,0,0,0
12,12,0,0,15,15,894.6734025494161,894.6734025494161,0,0,672,672
13,13,0,0,27,27,4337.6440278085329,4337.6440278085329,0,0,2729,2729
14,14,0,0,104,104,10632.857768539619,10632.857768539619,0,0,7769,7769
15,15,0,1,24,24,1593.6552829556661,1593.6552829556661,0,0,712,712
16,16,0,0,14,14,1055.6186336078158,1055.6186336078158,0,0,662,662
17,17,0,0,0,0,0,0,0,0,0,0
18,18,0,0,107,107,12991.924687912953,12991.924687912953,0,0,8655,8655
19,19,0,0,15,15,968.48542026872565,968.48542026872565,0,0,939,939
20,20,0,0,26,26,2241.7706497862655,2241.7706497862655,0,0,1048,1048
21,21,0,0,11,11,1201.9501005314539,1201.9501005314539,0,0,774,774
22,22,0,0,24,24,1829.3444470550955,1829.3444470550955,0,0,1141,1141
23,23,0,0,142,142,18385.092324715813,18385.092324715813,0,0,10810,10810
24,24,0,0,0,0,0,0,0,0,0,0
25,25,0,0,0,0,0,0,0,0,0,0
26,26,0,0,0,0,0,0,0,0,0,0
27,27,0,0,206,206,32309.921311970917,32309.921311970917,0,0,18312,18312
28,28,0,0,79,79,7669.2063741521506,7669.2063741521506,0,0,6095,6095
29,29,0,0,0,0,0,0,0,0,0,0
30,30,0,0,113,113,15308.537130259092,15308.537130259092,0,0,7871,7871
31,31,0,0,95,95,11123.194862950109,11123.194862950109,0,0,7848,7848
32,32,0,0,0,0,0,0,0,0,0,0
33,33,0,0,0,0,0,0,0,0,0,0
34,34,0,0,0,0,0,0,0,0,0,0
35,35,0,0,148,148,15259.115217614622,15259.115217614622,0,0,10059,10059
36,36,0,0,32,32,2960.7780906115108,2960.7780906115108,0,0,1771,1771
37,37,0,0,249,249,27640.083070853681,27640.083070853681,0,0,20613,20613
38,38,0,0,15,15,1841.5674259305188,1841.5674259305188,0,0,1277,1277
39,39,0,0,10,10,445.25301213613358,445.25301213613358,0,0,270,270
40,40,1,0,131,132,21103.10741724012,21103.10741724012,0,0,11459,11459
41,41,0,0,0,0,0,0,0,0,0,0
42,42,0,0,321,321,42491.538834643055,42491.538834643055,0,0,20424,20424
43,43,0,0,86,86,7795.4972641939639,7795.4972641939639,0,0,5767,5767
44,44,0,2,153,153,20610.584986391601,20610.584986391601,0,0,12347,12347
45,45,0,0,0,0,0,0,0,0,0,0
46,46,0,0,57,57,6012.6163792132793,6012.6163792132793,0,0,4094,4094
47,47,0,0,67,67,8086.9196197562233,8086.9196197562233,0,0,4876,4876
48,48,0,0,0,0,0,0,0,0,0,0
49,49,0,0,0,0,0,0,0,0,0,0
50,50,0,0,89,89,8318.6622559949556,8318.6622559949556,0,0,5220,5220
51,51,0,0,49,49,4830.4055133657166,4830.4055133657166,0,0,2934,2934
52,52,0,0,8,8,456.16124582186745,456.16124582186745,0,0,430,430
53,53,0,0,0,0,0,0,0,0,0,0
54,54,0,0,0,0,0,0,0,0,0,0
55,55,0,0,46,46,4083.5322408180846,4083.5322408180846,0,0,2718,2718
56,56,0,0,0,0,0,0,0,0,0,0
57,57,0,0,111,111,13178.310242967758,13178.310242967758,0,0,8155,8155
58,58,0,0,0,0,0,0,0,0,0,0
59,59,0,0,63,63,6866.5081892269318,6866.5081892269318,0,0,4263,4263
60,60,0,0,114,114,13496.052010214091,13496.052010214091,0,0,9359,9359
61,61,0,0,142,142,14462.627146712444,14462.627146712444,0,0,9342,9342
62,62,0,0,22,22,2161.2962574097519,2161.2962574097519,0,0,2183,2183
63,63,0,0,0,0,0,0,0,0,0,0
64,64,0,0,29,29,2432.310046915306,2432.310046915306,0,0,2131,2131
65,65,0,0,0,0,0,0,0,0,0,0
66,66,0,0,0,0,0,0,0,0,0,0
67,67,0,0,84,84,10508.961264046664,10508.961264046664,0,0,5353,5353
68,68,0,0,231,231,29944.250942375147,29944.250942375147,0,0,17125,17125
69,69,0,0,0,0,0,0,0,0,0,0
70,70,0,0,0,0,0,0,0,0,0,0
71,71,0,0,0,0,0,0,0,0,0,0
72,72,0,0,18,18,1477.0530661082018,1477.0530661082018,0,0,907,907
73,73,0,0,135,135,14216.30543323279,14216.30543323279,0,0,9759,9759
74,74,0,0,0,0,0,0,0,0,0,0
75,75,0,0,0,0,0,0,0,0,0,0
76,76,0,0,251,251,34651.334836219328,34651.334836219328,0,0,18309,18309
77,77,0,0,170,170,29236.730941457008,29236.730941457008,0,0,16118,16118
78,78,0,0,116,116,15009.730485562673,15009.730485562673,0,0,10659,10659
79,79,0,0,68,68,6025.9017012656559,6025.9017012656559,0,0,4331,4331
80,80,0,0,24,24,3245.3648074629386,3245.3648074629386,0,0,2286,2286
81,81,0,0,0,0,0,0,0,0,0,0
82,82,0,0,0,0,0,0,0,0,0,0
83,83,0,0,15,15,806.9048571183331,806.9048571183331,0,0,899,899
84,84,0,0,119,119,11814.238738560009,11814.238738560009,0,0,7581,7581
85,85,0,0,54,54,5508.6746341672042,5508.6746341672042,0,0,3921,3921
86,86,0,0,0,0,0,0,0,0,0,0
87,87,0,0,0,0,0,0,0,0,0,0
88,88,0,0,0,0,0,0,0,0,0,0
89,89,0,0,0,0,0,0,0,0,0,0
90,90,0,0,0,0,0,0,0,0,0,0
91,91,0,0,0,0,0,0,0,0,0,0
92,92,0,0,68,68,6418.3069201332592,6418.3069201332592,0,0,4527,4527
93,93,0,0,0,0,0,0,0,0,0,0
94,94,0,0,48,48,5341.5709645156658,5341.5709645156658,0,0,3697,3697
95,95,0,0,75,75,8426.9349152571285,8426.9349152571285,0,0,5048,5048
96,96,0,0,0,0,0,0,0,0,0,0
97,97,0,0,103,103,15323.75207848534,15323.75207848534,0,0,7673,7673
98,98,0,0,8,8,1202.5173206848488,1202.5173206848488,0,0,702,702
99,99,0,0,0,0,0,0,0,0,0,0
